,Roofline,Rank-1,Rank-2,Rank-3,Rank-4,Rank-5,Rank-6,Rank-7,Rank-8,Rank-9,Rank-10,Rank-11,Rank-12,Rank-13,Rank-14,Rank-15,Rank-16,Rank-17,Rank-18,Rank-19,Rank-20,Rank-21,Rank-22,Rank-23,Rank-24,Rank-25,Rank-26,Rank-27,Rank-28,Rank-29,Rank-30,Rank-31,Rank-32,Rank-33,Rank-34,Rank-35,Rank-36,Rank-37,Rank-38,Rank-39,Rank-40,Rank-41,Rank-42,Rank-43,Rank-44,Rank-45,Rank-46,Rank-47,Rank-48,Rank-49,Rank-50,Rank-51,Rank-52,Rank-53,Rank-54,Rank-55,Rank-56,Rank-57,Rank-58,Rank-59,Rank-60,Rank-61,Rank-62,Rank-63,Rank-64,Rank-65,Rank-66,Rank-67,Rank-68,Rank-69,Rank-70
Op.ELASTICITY.2D.P2,0.00011258053084716693,0.0002480128049850464,0.00026460158824920656,0.00024217600822448731,0.000260915207862854,0.00024258239269256594,0.00027350879907608037,0.00024586238861083986,0.000260096001625061,0.00024535040855407715,0.00024135680198669436,0.0002832368016242981,0.0002747391939163208,0.0002702336072921753,0.0002821120023727417,0.00025077760219573977,0.00027176959514617924,0.00026265599727630617,0.000241049599647522,0.0002436095952987671,0.00027064321041107175,0.0002810879945755005,0.00024258561134338382,0.0002441215991973877,0.00025006079673767093,0.0002826240062713623,0.00024350719451904297,0.0002457600116729736,0.00025917439460754394,0.0002697216033935547,0.0002753535985946655,0.00024289278984069825,0.00024483840465545654,0.0002628607988357544,0.00026122241020202635,0.000245964789390564,0.0002484224081039429,0.000248524808883667,0.0002616352081298828,0.00024483840465545654,0.0002465791940689087,0.0002476032018661499,0.00024023039340972902,0.00024545280933380126,0.0002656255960464478,0.00023920640945434573,0.0002406399965286255,0.00024483840465545654,0.000258460807800293,0.00024258561134338382,0.00025733120441436767,0.0002677759885787964,0.00024104640483856203,0.00024381439685821534,0.00023879680633544922,0.00024545280933380126,0.00025927679538726805,0.0002699264049530029,0.0002603008031845093,0.0002598912000656128,0.0002457600116729736,0.00024381439685821534,0.0002443264007568359,0.00024043519496917728,0.00024381439685821534,0.0002581504106521607,0.0002419712066650391,0.0002460671901702881,0.00026296319961547856,0.0002606080055236816,0.00024217600822448731
Op.ELASTICITY.2D.P3,0.00022184897462297086,0.0004688896179199219,0.000520908784866333,0.000475648021697998,0.00047626237869262693,0.0005459439992904663,0.0004682736158370972,0.0005449728012084962,0.0004782080173492432,0.0005050367832183838,0.0004891647815704346,0.0005240831851959229,0.0005416992187500001,0.0004547584056854248,0.0005594111919403076,0.00047441601753234864,0.0005387263774871827,0.0004998144149780274,0.00047575039863586427,0.0005626896142959595,0.0005211135864257812,0.0005468160152435303,0.0004980735778808594,0.0004902384042739868,0.000475648021697998,0.0005613567829132081,0.0005602303981781006,0.0005590015888214112,0.0004803584098815918,0.0005197824001312256,0.0005050367832183838,0.000510975980758667,0.0005300223827362061,0.0004967423915863037,0.0005866496086120606,0.0005436416149139405,0.0005256192207336426,0.0005746687889099122,0.0005222400188446045,0.000582144021987915,0.0004710400104522705,0.0004764671802520752,0.0004622335910797119,0.0005184512138366699,0.00047451839447021485,0.000542412805557251,0.0005406720161437988,0.0004675583839416504,0.0004887551784515381,0.0004760575771331787,0.0005008368015289306,0.0005182432174682618,0.0005406720161437988,0.0005592063903808594,0.0004530176162719727,0.0004707327842712402,0.000497049617767334,0.0004786176204681397,0.000558899211883545,0.0005402624130249023,0.0005287936210632325,0.0005095424175262451,0.0005170176029205322,0.0005599232196807862,0.0005051392078399658,0.0004972544193267822,0.0004701183795928955,0.00048793601989746097,0.0005157887935638428,0.0005521408081054687,0.0005554175853729248
Op.ELASTICITY.2D.P4,0.0003728678447828484,0.0007755264043807983,0.0007153664112091065,0.0008443903923034668,0.0009580544471740724,0.0008337408065795898,0.0009065471649169922,0.0007659520149230957,0.0008111104011535644,0.0008598527908325195,0.0008509440422058105,0.0007886847972869873,0.0008657919883728027,0.000796672010421753,0.0008208383560180664,0.00108472318649292,0.0008406047821044922,0.000992972755432129,0.0008659968376159668,0.0008319999694824219,0.0009862144470214845,0.0008453120231628418,0.0008483839988708496,0.000951910400390625,0.0010861472129821777,0.0007658495903015137,0.0007184383869171143,0.0009542655944824219,0.0009111552238464356,0.0008424448013305665,0.0008336383819580078,0.000809011173248291,0.0007714800119400024,0.0008584192276000978,0.0008480768203735352,0.0009870335578918456,0.0008388095855712892,0.000861081600189209,0.0010751999855041503,0.0008119296073913575,0.0007994368076324463,0.000820736026763916,0.0008623104095458984,0.0009775103569030761,0.0010761216163635255,0.0008484864234924316,0.0008446975708007813,0.0009545727729797363,0.0008301535606384278,0.0007204864025115966,0.0008408063888549805,0.0008175616264343261,0.000754585599899292,0.0007969823837280273,0.0007841792106628419,0.0007872511863708496,0.0007753727912902833,0.0008265727996826172,0.0008337408065795898,0.0008293375968933106,0.0008252415657043457,0.0007191024065017701,0.0008262656211853028,0.0008462335586547851,0.000759500789642334,0.0008018943786621093,0.0007793663978576661,0.0007922688007354737,0.0007872511863708496,0.0008302592277526856,0.0008349696159362793
Op.ELASTICITY.2D.P5,0.0005656369807485452,0.001215897560119629,0.0011970560073852538,0.0011776000022888184,0.0012691455841064455,0.0012408831596374512,0.0013058048248291018,0.0013780991554260254,0.0014436863899230956,0.0013623807907104492,0.001413375997543335,0.0014746623992919923,0.001516646385192871,0.0014509056091308594,0.0015537152290344238,0.0011416064262390136,0.001178828811645508,0.0012216320037841796,0.0012734463691711426,0.0012395520210266113,0.001377791976928711,0.0013039615631103517,0.0013614080429077149,0.0014462960243225098,0.001405900812149048,0.001450444793701172,0.0014690303802490235,0.0015241215705871583,0.0015485952377319336,0.0015346688270568847,0.001604198455810547,0.0011396096229553223,0.0012225536346435546,0.0011566080093383788,0.0012147711753845215,0.001245798397064209,0.001350553607940674,0.0012897279739379883,0.00142489595413208,0.0013883392333984374,0.0014144512176513674,0.0014689279556274416,0.0014490624427795412,0.0014585824012756348,0.001469644832611084,0.0011495424270629884,0.0011629568099975588,0.0012307456016540529,0.0012502528190612792,0.0012189696311950685,0.001361100769042969,0.00129684476852417,0.0014266367912292481,0.0014394880294799806,0.001396686363220215,0.0014666751861572265,0.0014756863594055176,0.0014855168342590333,0.0014698495864868164,0.0012232719898223878,0.001277952003479004,0.00131778564453125,0.0012686335563659669,0.0012464127540588379,0.001409331226348877,0.0013036543846130372,0.0014177280426025392,0.0014004223823547363,0.0014227456092834473,0.0014400511741638185,0.0014677504062652587
Op.ELASTICITY.2D.P6,0.0010531840000000002,0.0023420927047729492,0.002216652870178223,0.002166886329650879,0.0021210111618041993,0.0021630975723266606,0.0024160255432128905,0.0023541759490966797,0.0021093888282775882,0.0023249919891357423,0.00241213436126709,0.0023614463806152343,0.002528870391845703,0.002566348838806152,0.0024327680587768554,0.002189004802703858,0.002313420867919922,0.0021757951736450197,0.0021368831634521485,0.0021811199188232423,0.0021312511444091797,0.002431078338623047,0.002375475120544434,0.0023417856216430668,0.0024345088005065917,0.0025428479194641116,0.0023839744567871095,0.0025884672164916992,0.002449920082092285,0.0019991552352905274,0.0019542031288146975,0.0021179391860961915,0.0020242943763732913,0.0022661119461059574,0.0021367807388305666,0.0020452352523803712,0.0024683519363403322,0.0023476224899291994,0.0020451328277587893,0.0024704000473022465,0.0026635775566101073,0.002269081687927246,0.0023298048019409177,0.0027052032470703128,0.0024419328689575196,0.0023822848320007323,0.002694092845916748,0.0024422399520874025,0.002746879959106445,0.0025014272689819336,0.0020165632247924805,0.0019365888595581056,0.0021433343887329102,0.0020993024826049807,0.002163507270812988,0.0022907391548156737,0.0020653055191040036,0.002067558479309082,0.0023658592224121097,0.00249354248046875,0.002283310413360596,0.002396467208862305,0.002732339286804199,0.0024643583297729492,0.002348748779296875,0.002782156848907471,0.0025226240158081055,0.002461388778686524,0.0025084928512573244,0.0026894336700439454,0.0027458560943603516
Op.ELASTICITY.2D.P7,0.001750186666666667,0.004314214324951172,0.0037545982360839844,0.0037737472534179685,0.00324505615234375,0.003078656005859375,0.003064524841308594,0.0032911327362060545,0.003199179172515869,0.0031516160011291505,0.0029961215972900395,0.0032607200622558593,0.0032071678161621096,0.00329671688079834,0.003346944046020508,0.0032785408020019535,0.0039217679977417,0.0039650302886962896,0.003353036880493164,0.0039571983337402345,0.0039145488739013665,0.003271062469482422,0.0035558399200439454,0.003434086227416992,0.003304550552368164,0.003411763381958008,0.0029899776458740235,0.003080396842956543,0.003495935821533203,0.0031647232055664063,0.0032630271911621095,0.003819110488891602,0.0034226177215576172,0.003213772773742676,0.003198259162902832,0.004412924957275391,0.004727603340148926,0.004147711944580078,0.004076953506469726,0.004135935974121094,0.0032884735107421873,0.003616716766357422,0.003608678436279297,0.003356159973144531,0.00359290885925293,0.003335116767883301,0.003242393493652344,0.003369676971435547,0.00309616641998291,0.003442483329772949,0.003600230407714844,0.0038255615234375003,0.0033003520965576173,0.0035538944244384767,0.003380633544921875,0.003703552055358887,0.003359129524230957,0.003566284942626953,0.003741798400878906,0.004343807983398437,0.004495155334472656,0.004375654220581055,0.003594700813293457,0.0041596927642822265,0.0037784576416015625,0.0033818111419677737,0.004113817596435547,0.004417228698730469,0.004511740875244141,0.004164096069335938,0.004333516883850097
Op.ELASTICITY.2D.P8,0.002743210666666667,0.006526976013183593,0.006487757110595704,0.005886975860595703,0.006021120071411133,0.00649169921875,0.006224998474121094,0.006561587524414062,0.00589486083984375,0.0053955585479736334,0.005612800025939942,0.005949132919311524,0.005350502395629883,0.007103692626953125,0.005765120124816895,0.00754677734375,0.0054564865112304685,0.006783999633789063,0.005399347305297852,0.0063435264587402345,0.0054625278472900385,0.006004224014282227,0.005962444686889649,0.005551206588745117,0.006220800018310547,0.0069816322326660156,0.005944831848144531,0.006046511840820313,0.006204006576538086,0.00622295036315918,0.005957120132446289,0.006164582443237305,0.005542092704772949,0.006139184188842774,0.006290227127075196,0.004245811080932617,0.004806553649902344,0.0049687553405761715,0.0047511552810668945,0.005326540756225586,0.005005055999755859,0.005778534507751465,0.005592115211486817,0.005442867279052735,0.005541068649291992,0.005703526306152344,0.005147135925292969,0.006399232101440429,0.00582348804473877,0.005325516891479492,0.00561587200164795,0.0060697601318359376,0.005234073638916016,0.004815049743652344,0.00546170883178711,0.005224448013305664,0.005172121620178223,0.006218854522705078,0.005437337493896484,0.005114060974121094,0.0066630657196044924,0.004604927825927734,0.0054425537109375,0.008007679748535158,0.005366476821899414,0.007216742706298828,0.006154649734497071,0.006577151870727539,0.007313510131835938,0.006236671829223633,0.006483916854858399
Op.HYPERELASTICITY.2D.P1,4.187591828973967e-05,7.936000227928161e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Op.HYPERELASTICITY.2D.P2,0.00014609066666666667,0.0002704384088516235,0.00035041279792785647,0.00031354880332946775,0.0002766815900802612,0.00037509279251098635,0.00033218560218811034,0.00039045119285583497,0.00038983678817749025,0.00030453760623931885,0.0003056639909744263,0.00032122879028320314,0.0003758080005645752,0.0003156991958618164,0.0003978240013122559,0.0003185663938522339,0.0003956736087799072,0.0003320832014083862,0.00029777920246124267,0.0003909631967544556,0.0002774015903472901,0.00034273281097412113,0.00026900479793548585,0.0003858432054519653,0.00038533120155334475,0.00032389121055603027,0.00030208001136779785,0.0002988032102584839,0.0003327039957046509,0.00031027200222015386,0.0003862528085708618,0.00032276480197906493,0.0002957312107086182,0.0003870719909667969,0.0003345407962799072,0.0003390464067459106,0.0003779583930969238,0.0003763200044631958,0.00039024639129638675,0.0003217407941818237,0.0003699712038040161,0.00039423999786376954,0.000369868803024292,0.0002826240062713623,0.00031344640254974364,0.00032419838905334476,0.0003411967992782593,0.000335152006149292,0.00027402238845825196,0.000316211199760437,0.00032645120620727544,0.00033587200641632084,0.0003437567949295044,0.00032378880977630616,0.0003974143981933594,0.00037365760803222657,0.00037345280647277834,0.00032573440074920655,0.0002728960037231445,0.0003271680116653443,0.00036669440269470217,0.00032317440509796143,0.0003653631925582886,0.00038062078952789307,0.0003352576017379761,0.00031385600566864014,0.0002770944118499756,0.00032818880081176763,0.00033259520530700684,0.0003468287944793701,0.0003235840082168579
Op.HYPERELASTICITY.2D.P3,0.000518656,0.0007771135807037354,0.0009396224021911621,0.0009020416259765625,0.0010117119789123535,0.0009409536361694337,0.001037721633911133,0.0010419199943542481,0.0010323936462402344,0.0010692607879638672,0.0010526720046997071,0.0011190288066864015,0.0010898431777954102,0.0007788544178009034,0.0009125887870788574,0.0009475071907043458,0.0010480640411376953,0.0009469951629638672,0.0010165247917175294,0.0010421248435974122,0.0010483712196350096,0.0010807295799255372,0.0010656239986419679,0.0011018239974975585,0.001127628803253174,0.0007258111953735351,0.0009550848007202149,0.0009748479843139648,0.0010513407707214355,0.000970751953125,0.001035264015197754,0.0010561535835266114,0.001011507225036621,0.0010899456024169923,0.0010868736267089845,0.0011023360252380371,0.001065676784515381,0.0007272448062896728,0.0009674752235412598,0.0009878527641296387,0.0010450943946838378,0.0010639360427856445,0.0009797632217407226,0.001069259214401245,0.0010247680187225343,0.0011006976127624513,0.0011015168190002442,0.0011199471950531007,0.0010782719612121583,0.0008837120056152343,0.0011317248344421386,0.0011447808265686035,0.0012221440315246582,0.0012132351875305176,0.001215491199493408,0.001251788806915283,0.0012995583534240723,0.0012530688285827636,0.001267916774749756,0.0009013248443603516,0.001161830425262451,0.0011486207962036132,0.0012412927627563476,0.0012323840141296386,0.0012351488113403319,0.0012708864212036134,0.0012869631767272948,0.0012718048095703126,0.0013197296142578125,0.0009064448356628418,0.0010528767585754396
